label,Change
CSC699_CSC600,-11.5625
MATH325_CSC210,-9.385629252
CSC300_CSC220,-8.915229885
MATH324_CSC210,-8.182178044
CSC510_CSC600,-7.696842906
MATH325_MATH324,-6.105976044
CSC510_CSC415,3.878839039
MATH324_CSC340,4.083724418
CSC230_CSC220,5.087814567
CSC340_MATH324,5.422794637
CSC412_CSC340,5.672511597
CSC413_MATH324,6.114893617
CSC656_CSC415,6.808262712
CSC412_MATH324,6.821671006
PHYS222_MATH324,9.212121212
CSC600_CSC415,9.558992959
CSC510_MATH325,10.00730282
CSC211_CSC210,20.18032657
CSC300_CSC413,7.526282968
CSC230_PHYS230,5.281290323
CSC412_CSC520,4.9
CSC340_PHYS220,4.747533749
CSC220_PHYS230,4.450831287
MATH227_PHYS222,3.668706909
PHYS232_CSC220,4.519381595
PHYS230_CSC220,4.349966937
MATH324_CSC230,3.192279871
MATH324_CSC412,2.105337549
CSC600_CSC648,-3.031862745
PHYS220_CSC230,-3.408615744
CSC210_MATH226,-4.511100342
MATH227_CSC230,-3.643103807
PHYS222_CSC230,-3.851332878
CSC300_CSC230,-7.382424242
PHYS232_CSC413,-9.416402116
CSC300_PHYS222,-10.78363133
