label,change
CSC415_CSC600,21.64086747
CSC412_CSC415,20.67107478
CSC413_CSC415,19.82009991
CSC412_CSC413,14.54295302
PHYS230_MATH325,10.03013864
PHYS232_MATH325,9.920915233
PHYS230_MATH324,9.682336957
PHYS232_MATH324,9.66304109
CSC648_CSC675,7.057948913
CSC510_CSC413,6.510691824
CSC412_MATH324,8.103974654
CSC648_CSC600,8.054541963
CSC340_MATH324,7.771695053
MATH324_MATH325,5.606768232
CSC340_MATH325,5.478825333
MATH325_CSC230,3.692574932
MATH324_CSC412,-2.232434603
CSC256_PHYS232,-3.222459893
CSC230_CSC300,-3.223919916
CSC220_CSC300,-3.484141414
MATH325_CSC412,-3.571337706
PHYS232_CSC412,-3.712932287
PHYS232_CSC510,-3.947336266
PHYS230_CSC510,-3.993259804
MATH324_PHYS232,-4.030454845
CSC300_CSC510,-4.060558484
MATH227_CSC300,-4.07214842
CSC300_CSC412,-4.101526676
CSC300_PHYS232,-4.368716363
MATH325_PHYS232,-4.398911899
CSC300_CSC340,-6.444966214
CSC520_CSC412,-5.165384615
CSC230_PHYS222,-5.898910675
CSC220_PHYS220,-5.914463033
CSC220_PHYS222,-5.968076247
CSC210_MATH226,-7.609375
CSC230_PHYS220,-6.198206321
MATH324_PHYS230,-6.352173913
CSC300_CSC256,-6.493519933
CSC256_PHYS230,-6.622645323
MATH324_CSC340,-6.723351648
CSC413_CSC412,-7.05033557
CSC256_CSC340,-8.93659595
CSC340_PHYS230,-7.167601865
MATH325_CSC340,-9.500306616
CSC300_PHYS220,-8.018631922
MATH325_PHYS230,-8.164729183
CSC412_PHYS230,-8.470002876
CSC415_CSC412,-8.767765373
CSC211_MATH226,-9.683037269
CSC413_PHYS230,-10.11217151
CSC412_CSC520,-10.75028403
CSC300_PHYS230,-11.92430368
